Id,pageview_mobile_views,pageview_desktop_views,pagecount_mobile_views,pagecount_desktop_views,pageview_all_views,pagecount_all_views,year,month
0,0.0,0.0,0.0,4930902570.0,0.0,4930902570.0,2008,01
1,0.0,0.0,0.0,4818393763.0,0.0,4818393763.0,2008,02
2,0.0,0.0,0.0,4955405809.0,0.0,4955405809.0,2008,03
3,0.0,0.0,0.0,5159162183.0,0.0,5159162183.0,2008,04
4,0.0,0.0,0.0,5584691092.0,0.0,5584691092.0,2008,05
5,0.0,0.0,0.0,5712104279.0,0.0,5712104279.0,2008,06
6,0.0,0.0,0.0,5306302874.0,0.0,5306302874.0,2008,07
7,0.0,0.0,0.0,5140155519.0,0.0,5140155519.0,2008,08
8,0.0,0.0,0.0,5479533823.0,0.0,5479533823.0,2008,09
9,0.0,0.0,0.0,5679440782.0,0.0,5679440782.0,2008,10
10,0.0,0.0,0.0,5415832071.0,0.0,5415832071.0,2008,11
11,0.0,0.0,0.0,5211708451.0,0.0,5211708451.0,2008,12
12,0.0,0.0,0.0,5802681551.0,0.0,5802681551.0,2009,01
13,0.0,0.0,0.0,5547320860.0,0.0,5547320860.0,2009,02
14,0.0,0.0,0.0,6295159057.0,0.0,6295159057.0,2009,03
15,0.0,0.0,0.0,5988817321.0,0.0,5988817321.0,2009,04
16,0.0,0.0,0.0,6267516733.0,0.0,6267516733.0,2009,05
17,0.0,0.0,0.0,5818924182.0,0.0,5818924182.0,2009,06
18,0.0,0.0,0.0,5801646978.0,0.0,5801646978.0,2009,07
19,0.0,0.0,0.0,5790850384.0,0.0,5790850384.0,2009,08
20,0.0,0.0,0.0,4057515768.0,0.0,4057515768.0,2009,09
21,0.0,0.0,0.0,6016107147.0,0.0,6016107147.0,2009,10
22,0.0,0.0,0.0,5768486910.0,0.0,5768486910.0,2009,11
23,0.0,0.0,0.0,5426505977.0,0.0,5426505977.0,2009,12
24,0.0,0.0,0.0,5703465285.0,0.0,5703465285.0,2010,01
25,0.0,0.0,0.0,5762451418.0,0.0,5762451418.0,2010,02
26,0.0,0.0,0.0,6661347946.0,0.0,6661347946.0,2010,03
27,0.0,0.0,0.0,6618552152.0,0.0,6618552152.0,2010,04
28,0.0,0.0,0.0,6410578775.0,0.0,6410578775.0,2010,05
29,0.0,0.0,0.0,4898035014.0,0.0,4898035014.0,2010,06
30,0.0,0.0,0.0,5296177638.0,0.0,5296177638.0,2010,07
31,0.0,0.0,0.0,7381346660.0,0.0,7381346660.0,2010,08
32,0.0,0.0,0.0,7546488744.0,0.0,7546488744.0,2010,09
33,0.0,0.0,0.0,10172844562.0,0.0,10172844562.0,2010,10
34,0.0,0.0,0.0,6948678354.0,0.0,6948678354.0,2010,11
35,0.0,0.0,0.0,7001952100.0,0.0,7001952100.0,2010,12
36,0.0,0.0,0.0,7568511227.0,0.0,7568511227.0,2011,01
37,0.0,0.0,0.0,6906248849.0,0.0,6906248849.0,2011,02
38,0.0,0.0,0.0,7326545928.0,0.0,7326545928.0,2011,03
39,0.0,0.0,0.0,6835492088.0,0.0,6835492088.0,2011,04
40,0.0,0.0,0.0,7009799378.0,0.0,7009799378.0,2011,05
41,0.0,0.0,0.0,6536675534.0,0.0,6536675534.0,2011,06
42,0.0,0.0,0.0,6571730164.0,0.0,6571730164.0,2011,07
43,0.0,0.0,0.0,6514500361.0,0.0,6514500361.0,2011,08
44,0.0,0.0,0.0,5837738935.0,0.0,5837738935.0,2011,09
45,0.0,0.0,0.0,6974424665.0,0.0,6974424665.0,2011,10
46,0.0,0.0,0.0,7507641641.0,0.0,7507641641.0,2011,11
47,0.0,0.0,0.0,6396357939.0,0.0,6396357939.0,2011,12
48,0.0,0.0,0.0,7808477339.0,0.0,7808477339.0,2012,01
49,0.0,0.0,0.0,7530127141.0,0.0,7530127141.0,2012,02
50,0.0,0.0,0.0,7358543625.0,0.0,7358543625.0,2012,03
51,0.0,0.0,0.0,7220029422.0,0.0,7220029422.0,2012,04
52,0.0,0.0,0.0,7784479302.0,0.0,7784479302.0,2012,05
53,0.0,0.0,0.0,7524265988.0,0.0,7524265988.0,2012,06
54,0.0,0.0,0.0,7819376527.0,0.0,7819376527.0,2012,07
55,0.0,0.0,0.0,7885641059.0,0.0,7885641059.0,2012,08
56,0.0,0.0,0.0,7913689733.0,0.0,7913689733.0,2012,09
57,0.0,0.0,0.0,8379960050.0,0.0,8379960050.0,2012,10
58,0.0,0.0,0.0,8219987195.0,0.0,8219987195.0,2012,11
59,0.0,0.0,0.0,8033826900.0,0.0,8033826900.0,2012,12
60,0.0,0.0,0.0,9126210673.0,0.0,9126210673.0,2013,01
61,0.0,0.0,0.0,8100597857.0,0.0,8100597857.0,2013,02
62,0.0,0.0,0.0,8701419671.0,0.0,8701419671.0,2013,03
63,0.0,0.0,0.0,8049296729.0,0.0,8049296729.0,2013,04
64,0.0,0.0,0.0,8089099883.0,0.0,8089099883.0,2013,05
65,0.0,0.0,0.0,7759959725.0,0.0,7759959725.0,2013,06
66,0.0,0.0,0.0,8237301982.0,0.0,8237301982.0,2013,07
67,0.0,0.0,0.0,9306122925.0,0.0,9306122925.0,2013,08
68,0.0,0.0,0.0,9985326806.0,0.0,9985326806.0,2013,09
69,0.0,0.0,0.0,10775158269.0,0.0,10775158269.0,2013,10
70,0.0,0.0,0.0,10414877805.0,0.0,10414877805.0,2013,11
71,0.0,0.0,0.0,7102459747.0,0.0,7102459747.0,2013,12
72,0.0,0.0,0.0,7026531269.0,0.0,7026531269.0,2014,01
73,0.0,0.0,0.0,6718243109.0,0.0,6718243109.0,2014,02
